code,station,time,title
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 13:30:18,Nox Arcana - (06) Azathoth
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 13:30:48,Cinnamun Beloved - (04) Hysterical
RB,Rádio Beat,2022-02-04 13:32:17,BOB DYLAN - KNOCKIN' ON HEAVEN'S DOOR
MH,Metal Heart Radio,2022-02-04 13:33:48,METAL HEART RADIO - MHRs
MH,Metal Heart Radio,2022-02-04 13:34:03,Eldritch - 05 - No Obscurity
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 13:34:33,Ensiferum - (04) Burning Leaves
RB,Rádio Beat,2022-02-04 13:34:47,VOLBEAT - FOR EVIGT
RB,Rádio Beat,2022-02-04 13:39:31,Radio BEAT - Classic Rock
MH,Metal Heart Radio,2022-02-04 13:39:47,Exodus - 04. Elitist
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 13:40:33,Tarja Turunen - (13) Walking In The Air
MH,Metal Heart Radio,2022-02-04 13:43:48,? - Metal_Heart_-_Hey_Headbangers
MH,Metal Heart Radio,2022-02-04 13:44:18,Metal Heart Radio - Metal Live EN
RB,Rádio Beat,2022-02-04 13:44:32,LUBOS POSPISIL - TEN ZCELA TVUJ ZPUSOB
MH,Metal Heart Radio,2022-02-04 13:44:33,Magnum - 02 - Remember
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 13:45:04,Winterstorm - (07) Into The Light
RB,Rádio Beat,2022-02-04 13:48:17,SCORPIONS - TO BE WITH YOU IN HEAVEN
MH,Metal Heart Radio,2022-02-04 13:49:49,L.A. Guns - 05. If Its over Now
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 13:51:03,Nightwish - (01) Bless The Child
RB,Rádio Beat,2022-02-04 13:53:02,SMALL FACES - ITCHYCOO PARK
MH,Metal Heart Radio,2022-02-04 13:54:04,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-02-04 13:54:19,Swallow the Sun - 07 - The Fight of Your Life
RB,Rádio Beat,2022-02-04 13:55:32,OZZY OSBOURNE - JUNKIE
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 13:57:18,XIII stoleti - (10) Martyrium
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 13:59:02,Tarja Turunen - (03) Lost Northern Star
RB,Rádio Beat,2022-02-04 14:01:17,Radio BEAT - Classic Rock
RB,Rádio Beat,2022-02-04 14:01:32,PUDDLE OF MUDD - CONTROL
MH,Metal Heart Radio,2022-02-04 14:01:33,? - Jingle_Cesta_kolem_sveta_long
MH,Metal Heart Radio,2022-02-04 14:02:33,"177 - YNGWIE J. MALMSTEEN - Miracle Of Life [War To End All Wars, 2000]"
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 14:03:32,ALERG!E - (08) Zemske poly
RB,Rádio Beat,2022-02-04 14:05:03,Radio BEAT - Classic Rock
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 14:06:48,Winterstorm - (07) Climb The Highest Mountain
MH,Metal Heart Radio,2022-02-04 14:08:04,"384 - STRATOVARIUS - Papillon [Elements Pt. 1, 2003]"
RB,Rádio Beat,2022-02-04 14:08:17,EAGLES - GET OVER IT
RB,Rádio Beat,2022-02-04 14:11:48,EAGLES - BEST OF MY LOVE
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 14:11:48,Asriel - (07) Akai Ibara
MH,Metal Heart Radio,2022-02-04 14:15:03,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-02-04 14:15:18,UFO - Belladonna
RB,Rádio Beat,2022-02-04 14:16:18,Radio BEAT - Classic Rock
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 14:16:33,Nightwish - (11) The Greatest Show On Earth
RB,Rádio Beat,2022-02-04 14:18:48,DOORS - TOUCH ME
MH,Metal Heart Radio,2022-02-04 14:19:48,W.A.S.P. - Paint It Black
RB,Rádio Beat,2022-02-04 14:22:17,Radio BEAT - Classic Rock
